County,County Value**,Error Margin
"Iowa","25%","23-26%"
"Adair","24%","19-29%"
"Adams","25%","20-31%"
"Allamakee","23%","19-27%"
"Appanoose","23%","18-28%"
"Audubon","26%","21-31%"
"Benton","27%","22-32%"
"Black Hawk","23%","20-26%"
"Boone","25%","21-30%"
"Bremer","24%","20-29%"
"Buchanan","28%","23-33%"
"Buena Vista","20%","17-24%"
"Butler","25%","20-29%"
"Calhoun","25%","20-30%"
"Carroll","25%","21-30%"
"Cass","24%","20-29%"
"Cedar","26%","21-31%"
"Cerro Gordo","23%","19-27%"
"Cherokee","25%","21-30%"
"Chickasaw","24%","20-29%"
"Clarke","22%","18-27%"
"Clay","26%","21-31%"
"Clayton","24%","20-30%"
"Clinton","25%","20-29%"
"Crawford","22%","18-27%"
"Dallas","25%","21-30%"
"Davis","24%","19-29%"
"Decatur","23%","19-28%"
"Delaware","25%","21-31%"
"Des Moines","22%","18-27%"
"Dickinson","26%","21-31%"
"Dubuque","25%","21-30%"
"Emmet","24%","20-29%"
"Fayette","25%","20-29%"
"Floyd","24%","19-28%"
"Franklin","24%","19-29%"
"Fremont","24%","20-29%"
"Greene","23%","19-28%"
"Grundy","27%","23-32%"
"Guthrie","26%","21-31%"
"Hamilton","25%","20-29%"
"Hancock","25%","20-30%"
"Hardin","26%","21-31%"
"Harrison","25%","20-30%"
"Henry","24%","20-29%"
"Howard","25%","20-30%"
"Humboldt","23%","19-28%"
"Ida","25%","20-30%"
"Iowa","25%","21-30%"
"Jackson","24%","20-28%"
"Jasper","24%","20-29%"
"Jefferson","22%","17-26%"
"Johnson","27%","23-30%"
"Jones","24%","20-29%"
"Keokuk","24%","20-29%"
"Kossuth","24%","20-29%"
"Lee","24%","19-28%"
"Linn","24%","20-27%"
"Louisa","27%","24-31%"
"Lucas","23%","19-28%"
"Lyon","25%","21-30%"
"Madison","25%","21-30%"
"Mahaska","23%","19-28%"
"Marion","25%","21-30%"
"Marshall","23%","19-26%"
"Mills","26%","21-31%"
"Mitchell","25%","20-30%"
"Monona","24%","20-29%"
"Monroe","25%","20-30%"
"Montgomery","23%","19-28%"
"Muscatine","26%","21-31%"
"O'Brien","23%","19-28%"
"Osceola","23%","19-28%"
"Page","23%","18-28%"
"Palo Alto","26%","21-31%"
"Plymouth","26%","22-31%"
"Pocahontas","24%","20-29%"
"Polk","24%","21-27%"
"Pottawattamie","24%","20-29%"
"Poweshiek","24%","19-29%"
"Ringgold","24%","20-29%"
"Sac","26%","21-31%"
"Scott","23%","20-27%"
"Shelby","25%","20-30%"
"Sioux","24%","20-28%"
"Story","23%","19-27%"
"Tama","23%","18-27%"
"Taylor","24%","20-29%"
"Union","24%","20-29%"
"Van Buren","23%","19-28%"
"Wapello","21%","17-25%"
"Warren","25%","21-30%"
"Washington","24%","20-29%"
"Wayne","24%","20-29%"
"Webster","24%","20-28%"
"Winnebago","24%","19-29%"
"Winneshiek","27%","22-32%"
"Woodbury","25%","21-28%"
"Worth","25%","20-30%"
"Wright","23%","19-28%"
