feat,importance
month,0.00018865379584310677
cat_convenience_store,6.767739550826699e-05
cat_distillery_brewery,0.0
cat_gas_station,0.0001399093436671807
cat_general_store,0.0
cat_grocery_store,0.00024233765453103218
cat_liquor_store_bar,1.7550860446894067e-05
cat_other,2.0770699445769097e-07
cat_pharmacy,8.7844352016119e-06
cat_unknown,8.256248126814887e-10
female_18_24,0.0003997243406334434
female_25_34,0.0002443503096058359
female_35_44,0.0021054439692083
female_45_64,0.001894448947691846
female_65_over,0.001042573891568392
male_18_24,0.0034946257607499508
male_25_34,0.002263657365982891
male_35_44,0.000356999519612046
male_45_64,0.0003179281122941666
male_65_over,0.002451820654709066
annual_income,0.0032744033380829956
excessive_drinking,0.0002108242317297727
gassale_x_gasstore,0.00010374042991868046
l_10th_mountain_american_single_malt,0.0
l_10th_mountain_bourbon,1.5441733741346778e-06
l_10th_mountain_brandy,5.078364839415324e-09
l_10th_mountain_cordial,0.0
l_10th_mountain_rye,0.0
l_10th_mountain_vodka,0.0
l_135_east_hyogo_japanese_gin,0.0
l_15_stars_private_stock_8_and_15yr,0.0
l_173_craft_distillery_barrel_kane,2.825982884257383e-06
l_173_craft_distillery_bourbon_whiskey,0.0
l_173_craft_distillery_broken_beaker_silver_rum,0.0
l_173_craft_distillery_premium_gin,7.432694602017245e-09
l_173_craft_distillery_premium_vodka,4.420186205513919e-07
l_173_craft_distillery_single_barrel_bourbon,0.0
l_173_craft_distillery_spiced_rum,1.4938613491553165e-06
l_173_craft_distillery_volumetric_vodka,0.0
l_1792_12yr_old_bourbon,4.940811980156582e-06
l_1792_bottled_in_bond_bourbon,1.948862879576307e-06
l_1792_bottled_in_bond_bourbon_barrel,4.6321449285199516e-08
l_1792_chocolate_bourbon_ball_cream,0.0
l_1792_full_proof,5.626354917043658e-06
l_1792_full_proof_buy_the_barrel,0.0
l_1792_full_proof_kentucky_sazerac_barrel_select_straight_bour,0.0
l_1792_single_barrel_bourbon,1.0631973268590968e-05
l_1792_single_barrel_kentucky_straight_bourbon_sazerac_barrel,0.0
l_1792_small_batch,0.0004654240932552564
l_1792_small_batch_bourbon,1.2514872127069131e-06
l_1792_sweet_wheat_bourbon,1.5245860346773067e-06
